Instance,BKS_Distance,BKS_Routes,Baseline_Distance,Proposed_Distance,Baseline_Distance_Gap_Pct,Proposed_Distance_Gap_Pct,Baseline_Routes,Proposed_Routes,Baseline_Vehicle_Gap,Proposed_Vehicle_Gap,Baseline_Feasible,Proposed_Feasible,Baseline_Runtime_Sec,Proposed_Runtime_Sec
C101_21,828.94,10,814.98,1309.31,-1.68,57.95,5,14,-5,4,False,True,0.001,23.051
R101_21,1650.8,20,978.51,1908.61,-40.73,15.62,4,24,-16,4,False,True,0.001,16.339
RC101_21,1623.55,15,1057.56,2163.12,-34.86,33.23,4,21,-11,6,False,True,0.001,16.905
c102_21,828.94,10,1237.56,1265.06,49.29,52.61,10,13,0,3,False,True,0.001,17.595
c103_21,828.06,10,1237.56,1254.37,49.45,51.48,10,13,0,3,False,True,0.001,17.690
c104_21,824.78,10,1237.56,1177.75,50.05,42.80,10,12,0,2,False,True,0.001,40.179
c105_21,828.94,10,1237.56,1283.83,49.29,54.88,10,14,0,4,False,True,0.001,20.947
c106_21,828.94,10,1237.56,1227.21,49.29,48.05,10,13,0,3,False,True,0.001,27.876
c107_21,828.94,10,1237.56,1310.48,49.29,58.09,10,13,0,3,False,True,0.001,11.175
c108_21,828.94,10,1237.56,1201.20,49.29,44.91,10,13,0,3,False,True,0.001,23.648
c109_21,828.94,10,1237.56,1066.33,49.29,28.64,10,12,0,2,False,True,0.001,42.159
c201_21,591.56,3,701.08,816.10,18.51,37.96,3,5,0,2,False,True,0.001,26.496
c202_21,591.56,3,775.49,879.95,31.09,48.75,3,5,0,2,False,True,0.001,58.053
c203_21,591.17,3,775.49,972.67,31.18,64.53,3,5,0,2,False,True,0.001,30.743
c204_21,590.6,3,775.49,802.24,31.30,35.83,3,5,0,2,False,True,0.001,97.248
c205_21,588.88,3,775.49,730.95,31.69,24.13,3,4,0,1,False,True,0.001,77.276
c206_21,588.49,3,775.49,773.76,31.78,31.48,3,5,0,2,False,True,0.001,70.539
c207_21,588.29,3,775.49,768.10,31.82,30.57,3,5,0,2,False,True,0.001,68.987
c208_21,588.32,3,775.49,779.31,31.81,32.46,3,5,0,2,False,True,0.001,97.579
r102_21,1486.12,17,1331.47,1716.38,-10.41,15.49,8,21,-9,4,False,True,0.001,19.781
r103_21,1293.01,13,1179.07,1469.28,-8.81,13.63,8,17,-5,4,False,True,0.001,26.971
r104_21,1007.24,10,1179.07,1250.52,17.06,24.15,8,14,-2,4,False,True,0.001,75.356
r105_21,1377.11,15,1179.07,1678.20,-14.38,21.86,8,20,-7,5,False,True,0.001,34.271
r106_21,1251.98,12,1179.07,1478.01,-5.82,18.05,8,18,-4,6,False,True,0.001,54.156
r107_21,1104.66,11,1179.07,1418.21,6.74,28.38,8,15,-3,4,False,True,0.001,23.866
r108_21,960.88,9,1179.07,1238.63,22.71,28.91,8,13,-1,4,False,True,0.001,67.704
r109_21,1194.73,12,1179.07,1498.79,-1.31,25.45,8,18,-4,6,False,True,0.001,45.063
r110_21,1115.65,11,1179.07,1298.14,5.68,16.36,8,14,-3,3,False,True,0.001,31.217
r111_21,1098.79,10,1179.07,1328.94,7.31,20.95,8,16,-2,6,False,True,0.001,68.198
r112_21,982.14,9,1179.07,1228.97,20.05,25.13,8,13,-1,4,False,True,0.001,38.318
r201_21,1252.37,4,926.85,1317.88,-25.99,5.23,2,5,-2,1,False,True,0.001,53.864
r202_21,1191.7,3,926.85,1078.16,-22.22,-9.53,2,4,-1,1,False,True,0.001,69.090
r203_21,1035.52,3,926.85,946.62,-10.49,-8.58,2,4,-1,1,False,True,0.001,113.269
r204_21,856.12,2,926.85,783.88,8.26,-8.44,2,3,0,1,False,True,0.001,105.385
r205_21,994.42,3,926.85,1097.56,-6.79,10.37,2,3,-1,0,False,True,0.001,75.231
r206_21,906.14,3,926.85,1071.13,2.29,18.21,2,3,-1,0,False,True,0.001,82.397
r207_21,814.12,2,926.85,893.20,13.85,9.71,2,4,0,2,False,True,0.001,111.463
r208_21,726.82,2,926.85,827.48,27.52,13.85,2,3,0,1,False,True,0.001,182.895
r209_21,909.16,3,926.85,996.14,1.95,9.57,2,4,-1,1,False,True,0.001,134.432
r210_21,939.42,3,926.85,948.43,-1.34,0.96,2,4,-1,1,False,True,0.001,82.784
r211_21,762.14,2,926.85,856.96,21.61,12.44,2,4,0,2,False,True,0.001,69.111
rc102_21,1482.02,14,1185.31,1858.38,-20.02,25.40,9,19,-5,5,False,True,0.001,37.704
rc103_21,1261.67,11,1392.97,1686.86,10.41,33.70,9,16,-2,5,False,True,0.001,33.722
rc104_21,1135.48,10,1392.97,1471.35,22.68,29.58,9,14,-1,4,False,True,0.001,26.930
rc105_21,1515.22,13,1392.97,1854.15,-8.07,22.37,9,18,-4,5,False,True,0.001,26.302
rc106_21,1374.27,11,1392.97,1741.93,1.36,26.75,9,17,-2,6,False,True,0.001,38.112
rc107_21,1208.4,10,1392.97,1487.04,15.27,23.06,9,14,-1,4,False,True,0.001,36.012
rc108_21,1114.28,9,1392.97,1402.55,25.01,25.87,9,14,0,5,False,True,0.001,35.342
rc201_21,1362.4,4,905.04,1527.01,-33.57,12.08,2,6,-2,2,False,True,0.001,62.682
rc202_21,1155.93,3,905.04,1350.60,-21.70,16.84,2,6,-1,3,False,True,0.001,61.108
rc203_21,1044.2,3,905.04,1226.54,-13.33,17.46,2,5,-1,2,False,True,0.001,89.109
rc204_21,868.12,3,905.04,955.58,4.25,10.07,2,4,-1,1,False,True,0.001,114.831
rc205_21,1154.2,3,905.04,1257.57,-21.59,8.96,2,6,-1,3,False,True,0.001,76.246
rc206_21,1046.22,3,905.04,1348.99,-13.49,28.94,2,4,-1,1,False,True,0.001,52.857
rc207_21,960.84,3,905.04,1087.07,-5.81,13.14,2,5,-1,2,False,True,0.001,91.922
rc208_21,828.14,3,905.04,1007.53,9.29,21.66,2,3,-1,0,False,True,0.001,87.890
